time,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,p,q,r,ctrl_thrust,z_ref
8.792,-1.8302203390863573e-18,6.487421700785335e-18,1.2683138693493452,-1.278285852714098e-18,1.86343139223689e-18,-0.0006215324740545008,3.3654343642384676e-17,5.112952459304718e-17,3.363974103639982,-2.624372786854307e-18,-5.88889894491863e-18,0.0029660033830394396,0.4949368129235031,1.0
8.8,-1.8401828221065706e-18,6.502295654117273e-18,1.268309026765591,-1.2453103775266411e-18,1.8592441664923132e-18,-0.0006053229692766919,3.239097699653507e-17,4.846306039862714e-17,3.365334732169727,-2.758818344454206e-18,-5.815611579614463e-18,0.0029684309675769463,0.49493013824917875,1.0
8.808,-1.8498859402241885e-18,6.517126101617021e-18,1.2683043106538732,-1.2128897647022412e-18,1.8538059374684053e-18,-0.0005895139647248353,3.1076100693414194e-17,4.583431659066086e-17,3.366696238294387,-2.8710593900448444e-18,-5.733384189814288e-18,0.002970345582672854,0.49492361391186546,1.0
8.816,-1.8593346571979507e-18,6.531904173130578e-18,1.2682997178823558,-1.1810896217202483e-18,1.8472589391946782e-18,-0.0005740964396514708,2.9719239326359466e-17,4.324697741649776e-17,3.3680583882175643,-2.962522475303077e-18,-5.6431218009945984e-18,0.0029717501331538243,0.4949172371307512,1.0
8.824,-1.8685366792937887e-18,6.5456144202150055e-18,1.2682952453900345,-1.1502527619797475e-18,1.713780885553367e-18,-0.0005590615401716709,2.901242449801177e-17,4.066257100195967e-17,3.3694209495051615,-1.5442074625685824e-18,-5.636776570232381e-18,0.002972647591099564,0.49491100514875186,1.0
8.832,-1.877493416196025e-18,6.560143991344812e-18,1.2682908901854117,-1.1195921127795396e-18,1.816196391225844e-18,-0.0005444005778390376,2.7678037463776246e-17,3.816271401820865e-17,3.3707836911157885,-2.9132260018448e-18,-5.452371083442562e-18,0.0029730409949215854,0.4949049152338466,1.0
8.84,-1.886215382158114e-18,6.573664921099159e-18,1.2682866493451865,-1.0902457452610926e-18,1.6901162192934405e-18,-0.0005301050281415459,2.695884885148207e-17,3.567434506993395e-17,3.372146383430738,-1.570941762705796e-18,-5.42736140862262e-18,0.002972933448436628,0.49489896468078676,1.0
8.848,-1.8947106401488635e-18,6.585419888165285e-18,1.2682825200129553,-1.0619072488437121e-18,1.4693708832657402e-18,-0.0005161665288948596,2.7370054435079666e-17,3.31686872683317e-17,3.3735087982835408,8.95325735032978e-19,-5.465088112651419e-18,0.0029723281199349693,0.4948931508115769,1.0
8.856,-1.9029796611959235e-18,6.598096935361595e-18,1.2682784993979264,-1.0336276308824925e-18,1.5846308995388017e-18,-0.0005025768786068534,2.7087891962666822e-17,3.0759845794443054e-17,3.3748707089890875,-6.172406149618498e-19,-5.253864827147024e-18,0.002971228241243734,0.494887470976768,1.0
8.864,-1.911033917594758e-18,6.609859826621108e-18,1.2682745847736483,-1.0067820498543038e-18,1.4703614074390868e-18,-0.0004893280347644496,2.7357739287150018e-17,2.837347387064791e-17,3.376231890372321,5.871830978574779e-19,-5.204844948637797e-18,0.0029696371067855034,0.49488192255653185,1.0
8.872,-1.918880230782432e-18,6.620823487819133e-18,1.2682707734767518,-9.807891484592513e-19,1.3704576497531387e-18,-0.0004764121120560843,2.810064203257815e-17,2.6016183519664666e-17,3.3775921187964952,1.6193538464651302e-18,-5.1413735597787825e-18,0.0029675580726322873,0.49487650296120445,1.0
8.88,-1.926527768031913e-18,6.6301509041174495e-18,1.2682670629057073,-9.55942156185142e-19,1.1659270372895397e-18,-0.00046382138056154707,2.988167028215217e-17,2.365485065987018e-17,3.378951172190996,3.884315666960119e-18,-5.150128881184525e-18,0.002964994555555145,0.4948712096323328,1.0
8.888,-1.9339799032405585e-18,6.639574922859721e-18,1.2682634505195962,-9.315169010807096e-19,1.178002342783863e-18,-0.0004515482638790075,3.152075416164782e-17,2.1363141007101224e-17,3.3803088300787265,3.574762681423574e-18,-4.998147744212188e-18,0.0029619500320696174,0.4948660400429087,1.0
8.896,-1.9412423694141253e-18,6.650017965289154e-18,1.2682599338368983,-9.078082716958293e-19,1.3053803036791077e-18,-0.0004395853372380448,3.238762765817255e-17,1.918065702215355e-17,3.3816648736030515,1.8901778634740057e-18,-4.7597914933534264e-18,0.0029584280374771008,0.4948609916984691,1.0
8.904,-1.94832530676637e-18,6.6605134855212335e-18,1.268256510434294,-8.853671690306063e-19,1.3119400290099577e-18,-0.00042792532554666363,3.31347975838506e-17,1.706799494907435e-17,3.3830190855543045,1.6291373362402074e-18,-4.607424326638253e-18,0.0029544321649024314,0.49485606213721567,1.0
